step,starting_modules,modules,move_type,energy,mc_outcome
72,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YO2YO2YOYOYOY2OYOYO3YO2YO2YOYOYOYOY2O2YOYO2YO2YO2YOYO2YO2YO3YO2YOY2O3,4,1.3333333333333332e+18,cR
73,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YOYO2Y2OYO2YOYOYO2YO2YO2Y2OYO3YOYOYOYO2YO2YOYO2YO2YOYO2YO3YO2Y2O2YO2YO,10,1.3333333333333332e+18,cR
74,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YO2YOYO2YO2YO3YO2Y3O3YO2YO2YOYOYOYOY2O2YOYO2YO2YO2YO2YOYOYOYOYOYOYO3,2,1.3333333333333332e+18,cR
75,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,1,1.3333333333333332e+18,cR
76,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YOYOYOYO2YO2YO2YO2YO2YO3YOYOY2O2Y2OYOYOYOYO2YOYO2YO2YO2YOYO3Y2OYO2YO3YO2,3,1.3333333333333332e+18,cR
77,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYO2YOYOYO2YO2YO3Y2OYO2YO2YO2YO2YOYO2YO2,1,1.3333333333333332e+18,cR
78,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,1,1.3333333333333332e+18,cR
79,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO3Y3O2YOYOYO2YOYO2Y2OYOYO2YO2YOYO2YOYO2YOYO3YOYO3YO2YO2YOYOYO2YOYOYO3,10,1.3333333333333332e+18,cR
80,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YOYO2,7,2e+19,cR
81,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YO,7,2e+19,cR
